Word	Joy	Anger	Sadness	Fear	Disgust
aaien	1.7990000247955322	1.7139999866485596	1.528499960899353	1.7893999814987183	1.5592999458312988
aal	1.2653000354766846	2.3949999809265137	2.166100025177002	2.2860000133514404	2.0899999141693115
aalmoes	1.288699984550476	2.307499885559082	2.0838000774383545	2.1988000869750977	2.0376999378204346
aandachtig	1.9388999938964844	1.8997999429702759	1.670699954032898	2.0322000980377197	1.6744999885559082
aangenaam	2.2279000282287598	1.4918999671936035	1.3973000049591064	1.55649995803833	1.4042999744415283
aanslag	1.049399971961975	3.0943000316619873	2.823899984359741	3.1979000568389893	2.4702999591827393
aanstoot	1.1899000406265259	2.7520999908447266	2.4509999752044678	2.7446999549865723	2.279099941253662
aanstotelijk	1.2177000045776367	2.7318999767303467	2.415600061416626	2.7602999210357666	2.2479000091552734
aantrekkelijk	2.4951999187469482	1.5877000093460083	1.46589994430542	1.7208000421524048	1.4484000205993652
aanval	1.1507999897003174	3.0053000450134277	2.7534000873565674	3.123300075531006	2.4189999103546143
aanvallen	1.214900016784668	2.999799966812134	2.6816999912261963	3.1663999557495117	2.357100009918213
aanvallend	1.1786999702453613	2.9788999557495117	2.684799909591675	3.1092000007629395	2.3736000061035156
aanwinst	2.1586999893188477	1.6383999586105347	1.4851000308990479	1.7431999444961548	1.493299961090088
aanzien	1.748900055885315	1.8042000532150269	1.5981999635696411	1.8901000022888184	1.6243000030517578
aanzienlijk	1.6126999855041504	1.9586999416351318	1.7232999801635742	2.0418999195098877	1.7402000427246094
aap	1.5949000120162964	2.260499954223633	1.9515999555587769	2.386399984359741	1.9155000448226929
aard	1.476099967956543	1.9735000133514404	1.7616000175476074	1.9638999700546265	1.7896000146865845
aardbei	1.881100058555603	1.5147000551223755	1.3911999464035034	1.5449999570846558	1.4286999702453613
aardbeving	1.0924999713897705	3.0283000469207764	2.7713000774383545	3.127500057220459	2.437700033187866
aarde	1.601199984550476	1.7836999893188477	1.5856000185012817	1.8351000547409058	1.6238000392913818
aars	1.086899995803833	2.697700023651123	2.639899969100952	2.569000005722046	2.3536999225616455
aas	1.3473999500274658	2.242300033569336	2.004199981689453	2.1631999015808105	1.985700011253357
absurd	1.2297999858856201	2.571500062942505	2.297800064086914	2.486799955368042	2.186000108718872
abt	1.388800024986267	2.1445999145507812	1.916599988937378	2.087100028991699	1.917799949645996
accent	1.4840999841690063	2.077399969100952	1.836400032043457	2.104099988937378	1.844099998474121
achten	1.4710999727249146	2.106800079345703	1.860700011253357	2.1298999786376953	1.8641999959945679
acne	1.0162999629974365	2.830699920654297	2.947499990463257	2.740000009536743	2.519700050354004
act	1.4602999687194824	2.2743000984191895	1.9745999574661255	2.3494999408721924	1.942199945449829
actief	2.1535000801086426	2.1077001094818115	1.8274999856948853	2.31820011138916	1.7821999788284302
acuut	1.246000051498413	2.7174999713897705	2.3845999240875244	2.7906999588012695	2.2170000076293945
adder	1.2139999866485596	2.6496999263763428	2.364799976348877	2.5975000858306885	2.227099895477295
adel	1.5022000074386597	1.964400053024292	1.7493000030517578	1.9759000539779663	1.7755999565124512
adelaar	1.6064000129699707	2.163300037384033	1.8777999877929688	2.2811999320983887	1.8596999645233154
adem	1.6065000295639038	1.906999945640564	1.6818000078201294	1.9794000387191772	1.7067999839782715
ader	1.363800048828125	2.3557000160217285	2.0664000511169434	2.351799964904785	2.0244998931884766
adres	1.4526000022888184	2.0302000045776367	1.8133000135421753	2.0072999000549316	1.8327000141143799
advies	1.8315999507904053	1.7351000308990479	1.544700026512146	1.8205000162124634	1.5710999965667725
advocaat	1.410099983215332	2.3603999614715576	2.0497000217437744	2.4135000705718994	2.0023999214172363
afbreken	1.1083999872207642	2.9026999473571777	2.650599956512451	2.905600070953369	2.400099992752075
afgunst	1.0234999656677246	2.8645999431610107	2.9182000160217285	2.7783000469207764	2.518899917602539
afhankelijk	1.1691999435424805	2.5216000080108643	2.3831000328063965	2.371999979019165	2.205399990081787
afkeer	1.0268000364303589	2.8780999183654785	2.9072999954223633	2.7934999465942383	2.5190999507904053
afkeren	1.0515999794006348	2.820199966430664	2.7727999687194824	2.714400053024292	2.450900077819824
afkerig	1.0338000059127808	2.7892000675201416	2.844399929046631	2.6810998916625977	2.468600034713745
afscheid	1.0255000591278076	2.852099895477295	2.9017999172210693	2.7618000507354736	2.5090999603271484
afschermen	1.3377000093460083	2.464900016784668	2.1538000106811523	2.477099895477295	2.0803000926971436
afschuw	1.0430999994277954	2.9375998973846436	2.8615000247955322	2.8612000942230225	2.521899938583374
afstand	1.3020999431610107	2.2973999977111816	2.0689001083374023	2.194000005722046	2.029599905014038
afstotelijk	1.0242999792099	2.8680999279022217	2.9151999950408936	2.7822999954223633	2.518899917602539
afstoten	1.065600037574768	2.970099925994873	2.8271000385284424	2.9277000427246094	2.510200023651123
afval	1.1269999742507935	2.600800037384033	2.5027999877929688	2.4595000743865967	2.2678000926971436
afwachten	1.357100009918213	2.19320011138916	1.9600000381469727	2.119999885559082	1.9529999494552612
afwachtend	1.3844000101089478	2.1215999126434326	1.8954999446868896	2.063800096511841	1.9023000001907349
afwijzen	1.0348999500274658	2.9066998958587646	2.8857998847961426	2.8259999752044678	2.5208001136779785
agentschap	1.4191999435424805	2.2118000984191895	1.9515999555587769	2.2126998901367188	1.9378000497817993
agressie	1.0678000450134277	3.063999891281128	2.7957000732421875	3.164599895477295	2.4514000415802
agressief	1.0491000413894653	3.102099895477295	2.8266000747680664	3.2100000381469727	2.4707000255584717
aids	0.9786999821662903	2.930000066757202	3.0002999305725098	2.8696000576019287	2.547300100326538
akker	1.478700041770935	2.000999927520752	1.7836999893188477	1.9975999593734741	1.8063000440597534
akkoord	1.8773000240325928	1.7217999696731567	1.534500002861023	1.8108999729156494	1.558899998664856
akte	1.4428000450134277	2.055500030517578	1.835800051689148	2.02810001373291	1.851199984550476
alarm	1.1545000076293945	2.92930006980896	2.6317999362945557	3.026400089263916	2.35509991645813
album	1.5480999946594238	1.825600028038025	1.6237000226974487	1.8600000143051147	1.662600040435791
alcholisme	1.0260000228881836	2.8754000663757324	2.90910005569458	2.7904999256134033	2.5188000202178955
alert	1.7407000064849854	2.1593000888824463	1.8703999519348145	2.3066999912261963	1.8447999954223633
alleen	1.2244000434875488	2.3963000774383545	2.203700065612793	2.260499954223633	2.1034998893737793
altaar	1.4855999946594238	1.9143999814987183	1.7073999643325806	1.9149999618530273	1.742799997329712
ambacht	1.5928000211715698	2.146899938583374	1.8666000366210938	2.25819993019104	1.8521000146865845
ambitie	2.2177000045776367	1.8738000392913818	1.652999997138977	2.044100046157837	1.6389000415802002
ambitieus	2.226300001144409	1.917199969291687	1.6849000453948975	2.09689998626709	1.6658999919891357
ambt	1.4458999633789062	2.1347999572753906	1.8898999691009521	2.138000011444092	1.8902000188827515
ander	1.416200041770935	2.190999984741211	1.9401999711990356	2.1779000759124756	1.9306999444961548
angel	1.1294000148773193	2.7339999675750732	2.520900011062622	2.623699903488159	2.3217999935150146
angst	1.0887999534606934	2.9855000972747803	2.7994000911712646	3.0041000843048096	2.482300043106079
angstig	1.0872000455856323	2.985300064086914	2.80049991607666	3.000999927520752	2.4839000701904297
anijs	1.4427000284194946	2.042099952697754	1.8243000507354736	2.013400077819824	1.8423999547958374
anjer	1.5465999841690063	1.781000018119812	1.5861999988555908	1.812999963760376	1.6291999816894531
anker	1.4875999689102173	1.9164999723434448	1.7094000577926636	1.9176000356674194	1.7443000078201294
ansjovis	1.3691999912261963	2.199899911880493	1.9664000272750854	2.1312999725341797	1.9564000368118286
anti	1.0709999799728394	2.7783000469207764	2.705199956893921	2.6651999950408936	2.4107000827789307
antiek	1.5156999826431274	1.8076000213623047	1.611299991607666	1.8250000476837158	1.655400037765503
antilope	1.6216000318527222	2.192199945449829	1.8978999853134155	2.31850004196167	1.8739999532699585
antwoord	1.5464999675750732	2.0250000953674316	1.779099941253662	2.098299980163574	1.7891000509262085
